Student_ID,Attendance_Pct,AMCAT_Logical,AMCAT_Quant,AMCAT_Verbal,AMCAT_Domain,Score_10th,Score_12th_Diploma,Active_Backlogs,Portal_Logins_Per_Month,Housing,Commute_Time_Mins,OS_CIE,DBMS_CIE,SE_CIE,MDM_CIE,Entrepreneurship_CIE,ICSR_CIE,Risk_Level
STU21072,78,658,650,650,739,60,82,0,14,Hosteller,57,28,34,25,34,24,25,SAFE
STU21073,81,752,721,782,750,92,65,0,35,Hosteller,41,41,50,45,39,49,43,SAFE
STU21074,66,697,705,723,684,66,65,0,19,Hosteller,99,39,45,38,34,39,42,SAFE
STU21075,83,444,526,529,489,73,94,0,21,Hosteller,43,42,40,36,38,45,46,SAFE
STU21076,50,362,433,414,452,51,44,3,10,Hosteller,36,26,19,27,27,19,21,CRITICAL
STU21077,99,883,900,874,876,73,79,0,45,Hosteller,64,58,54,46,48,49,49,SAFE
STU21078,33,216,278,294,262,71,61,5,5,Hosteller,8,30,30,21,30,27,25,CRITICAL
STU21079,86,718,713,682,703,93,57,0,36,Hosteller,34,46,51,49,45,43,53,SAFE
STU21080,94,597,633,619,627,95,69,0,22,Day-Scholar,56,45,43,48,40,42,46,SAFE
STU21081,79,674,614,646,614,87,62,2,19,Day-Scholar,26,42,39,41,39,46,46,SAFE
STU21082,83,669,727,717,704,82,68,0,10,Day-Scholar,93,33,31,31,40,39,37,SAFE
STU21083,92,669,652,592,652,63,83,0,49,Day-Scholar,28,52,54,55,54,55,52,SAFE
STU21084,74,734,706,708,744,80,67,2,18,Hosteller,72,33,30,28,27,31,30,WARNING
STU21085,77,418,379,385,458,79,86,1,24,Day-Scholar,40,33,33,31,25,37,33,SAFE
STU21086,76,673,675,644,622,71,84,0,11,Day-Scholar,55,29,36,34,38,35,30,SAFE
STU21087,89,618,681,608,691,71,90,0,48,Day-Scholar,96,41,48,42,50,49,51,SAFE
STU21088,74,671,662,667,654,66,90,0,16,Day-Scholar,114,40,40,42,36,33,33,SAFE
STU21089,68,497,554,552,507,79,79,2,11,Hosteller,67,37,42,41,42,42,44,WARNING
STU21090,65,200,245,205,287,67,63,3,9,Hosteller,75,18,10,17,8,14,17,CRITICAL
STU21091,92,900,895,900,882,89,61,0,41,Day-Scholar,106,56,51,52,55,53,51,SAFE
STU21092,70,466,398,390,370,79,64,2,17,Day-Scholar,116,33,28,35,37,36,30,WARNING
STU21093,83,668,713,751,657,65,64,0,42,Day-Scholar,120,52,52,52,54,53,50,SAFE
STU21094,92,610,645,573,571,67,71,0,39,Hosteller,109,51,49,53,57,56,52,SAFE
STU21095,93,864,881,892,834,61,59,0,23,Day-Scholar,16,51,60,57,52,59,60,SAFE
STU21096,80,653,643,618,588,94,81,1,15,Day-Scholar,44,42,40,42,37,36,32,SAFE
STU21097,73,466,451,512,422,73,90,0,16,Day-Scholar,59,33,34,35,29,31,34,SAFE
STU21098,84,828,858,818,782,67,88,0,35,Hosteller,27,42,49,47,48,52,47,SAFE
STU21099,99,684,707,714,723,66,81,0,35,Hosteller,86,43,51,43,46,45,50,SAFE
STU21100,81,674,721,698,700,77,91,1,11,Hosteller,44,39,40,34,46,41,40,SAFE
STU21101,94,662,600,595,633,94,88,0,34,Day-Scholar,64,52,57,60,60,50,54,SAFE
STU21102,90,662,654,654,629,63,74,0,44,Day-Scholar,81,49,51,51,52,49,56,SAFE
STU21103,65,403,383,364,382,81,55,0,14,Day-Scholar,74,36,32,37,27,32,34,WARNING
STU21104,88,795,835,824,840,61,57,0,50,Hosteller,48,51,48,57,54,54,48,SAFE
STU21105,73,506,544,456,515,88,91,2,10,Hosteller,104,25,36,25,34,31,28,WARNING
STU21106,60,483,460,429,444,67,51,5,3,Hosteller,82,16,13,15,20,15,21,CRITICAL
STU21107,67,566,645,598,625,95,76,2,25,Day-Scholar,13,44,43,44,37,42,45,WARNING
STU21108,87,900,851,896,851,87,90,0,32,Day-Scholar,108,54,46,49,54,50,49,SAFE
STU21109,81,761,726,766,674,90,62,0,36,Hosteller,15,41,47,51,43,41,45,SAFE
STU21110,32,265,286,214,264,47,66,5,9,Day-Scholar,112,13,12,22,10,11,11,CRITICAL
STU21111,77,623,648,717,640,81,87,0,23,Day-Scholar,52,39,39,38,39,40,37,SAFE
STU21112,67,416,365,372,359,74,83,1,22,Hosteller,8,26,34,30,33,31,34,WARNING
STU21113,47,373,417,357,358,55,59,5,10,Day-Scholar,60,26,18,25,17,16,23,CRITICAL
STU21114,91,708,691,667,650,86,57,0,44,Hosteller,33,54,57,53,54,57,48,SAFE
STU21115,79,419,487,428,442,76,88,0,12,Hosteller,18,30,35,27,32,37,36,SAFE
STU21116,89,740,787,777,773,80,90,0,20,Day-Scholar,60,51,49,52,45,54,45,SAFE
STU21117,73,518,503,466,500,76,78,0,23,Hosteller,20,43,48,40,47,40,45,SAFE
STU21118,70,689,620,641,714,68,76,2,24,Day-Scholar,51,30,36,30,31,36,27,WARNING
STU21119,49,470,487,491,453,73,60,3,8,Hosteller,84,13,13,12,8,9,10,CRITICAL
STU21120,95,634,680,617,635,78,84,0,22,Day-Scholar,54,48,45,52,55,46,56,SAFE
STU21121,72,480,569,559,531,73,72,0,12,Hosteller,47,33,40,34,35,35,28,SAFE
STU21122,85,595,677,588,640,94,79,0,21,Day-Scholar,49,46,36,40,42,37,36,SAFE
STU21123,67,533,476,462,526,82,65,2,11,Hosteller,84,39,39,48,46,39,40,WARNING
STU21124,66,645,550,642,581,63,63,0,15,Hosteller,98,47,49,51,49,51,51,SAFE
STU21125,98,815,799,837,842,94,73,0,36,Hosteller,66,52,46,51,50,49,42,SAFE
STU21126,80,554,537,610,558,73,77,0,19,Hosteller,33,37,39,31,32,30,36,SAFE
STU21127,57,383,398,395,409,61,65,4,10,Day-Scholar,29,24,36,32,31,34,34,CRITICAL
STU21128,90,683,660,628,615,84,56,0,49,Day-Scholar,13,51,39,47,43,40,45,SAFE
STU21129,95,761,782,752,724,92,68,0,50,Day-Scholar,21,59,56,48,48,48,60,SAFE
STU21130,68,444,439,444,503,73,77,0,17,Day-Scholar,93,38,37,39,39,33,40,SAFE
STU21131,100,734,794,797,728,87,88,0,48,Hosteller,55,49,55,50,43,55,48,SAFE
STU21132,87,812,773,750,748,82,68,0,32,Day-Scholar,91,45,44,47,39,39,39,SAFE
STU21133,75,547,591,565,570,91,73,2,11,Day-Scholar,32,45,43,42,43,43,43,SAFE
STU21134,91,766,751,782,759,66,62,0,38,Hosteller,31,51,47,55,51,54,45,SAFE
STU21135,71,693,687,678,655,64,64,1,22,Hosteller,12,36,30,32,39,40,35,SAFE
STU21136,79,712,731,648,726,90,80,2,21,Hosteller,24,30,35,32,35,25,30,WARNING
STU21137,69,431,485,405,485,69,55,2,20,Day-Scholar,37,27,28,27,31,38,33,WARNING
STU21138,77,488,421,447,398,93,89,0,22,Day-Scholar,93,39,46,43,36,38,42,SAFE
STU21139,80,371,439,422,429,94,78,0,25,Hosteller,18,31,35,29,39,37,36,SAFE
STU21140,84,735,779,784,730,68,66,0,40,Day-Scholar,58,53,43,47,44,43,45,SAFE
STU21141,42,313,269,291,320,54,66,2,3,Day-Scholar,74,28,32,30,22,22,24,CRITICAL
STU21142,76,647,702,715,659,71,77,0,10,Hosteller,8,43,45,46,40,49,46,SAFE
STU21143,84,783,736,802,810,86,83,0,24,Hosteller,99,51,41,52,51,41,42,SAFE
STU21144,66,483,475,493,452,64,82,0,24,Day-Scholar,55,42,43,44,40,45,49,SAFE
STU21145,70,498,498,527,571,72,72,1,23,Hosteller,120,39,36,45,38,46,43,SAFE
STU21146,80,692,637,602,657,88,85,0,10,Day-Scholar,112,30,31,28,34,30,34,SAFE
STU21147,83,692,622,682,681,67,67,0,15,Hosteller,42,27,30,27,31,28,25,SAFE
STU21148,56,245,250,230,217,74,44,5,10,Day-Scholar,111,27,33,28,21,32,28,CRITICAL
STU21149,65,625,632,616,685,86,87,0,25,Day-Scholar,59,33,38,36,30,35,40,SAFE
STU21150,81,556,572,593,576,78,94,0,11,Day-Scholar,100,42,40,45,48,46,43,SAFE
STU21151,68,505,509,467,469,85,66,1,15,Hosteller,50,41,39,34,40,36,44,SAFE
STU21152,81,638,585,574,604,87,62,0,13,Day-Scholar,28,36,38,38,41,41,32,SAFE
STU21153,76,429,453,437,463,72,84,0,19,Hosteller,91,42,46,36,43,43,45,SAFE
STU21154,81,616,631,581,668,62,69,0,24,Day-Scholar,16,36,30,34,31,32,28,SAFE
STU21155,32,352,349,377,339,74,48,4,3,Hosteller,61,26,24,25,19,26,20,CRITICAL
STU21156,66,491,418,468,416,73,91,0,22,Hosteller,28,25,29,31,27,37,37,WARNING
STU21157,92,636,623,635,594,94,91,0,32,Hosteller,91,48,56,49,56,56,54,SAFE
STU21158,39,232,307,306,283,72,56,4,4,Hosteller,87,15,12,11,12,15,19,CRITICAL
STU21159,84,517,499,484,477,77,62,0,23,Hosteller,43,42,40,45,41,43,51,SAFE
STU21160,77,600,518,536,522,69,59,0,10,Day-Scholar,9,33,42,39,42,42,37,SAFE
STU21161,78,441,387,419,418,94,74,0,15,Hosteller,55,38,45,38,40,34,37,SAFE
STU21162,82,862,888,860,893,83,56,0,30,Hosteller,120,58,55,53,58,50,47,SAFE
STU21163,85,723,704,723,704,68,82,1,13,Hosteller,31,37,36,44,39,42,41,SAFE
STU21164,54,445,455,468,444,55,63,4,4,Day-Scholar,114,23,27,30,27,34,31,CRITICAL
STU21165,74,624,627,641,656,80,79,0,16,Hosteller,76,27,36,30,28,39,27,SAFE
STU21166,71,573,579,552,617,65,93,0,24,Day-Scholar,68,42,47,44,43,40,46,SAFE
STU21167,86,711,725,680,719,69,57,0,44,Day-Scholar,25,41,42,51,48,48,41,SAFE
STU21168,92,717,782,787,757,90,89,0,22,Day-Scholar,92,59,52,57,55,50,58,SAFE
STU21169,63,417,411,324,358,73,65,4,1,Hosteller,34,20,13,15,18,21,21,CRITICAL
STU21170,46,400,319,383,305,50,43,1,2,Day-Scholar,57,12,14,12,15,10,13,CRITICAL
STU21171,67,525,527,504,541,90,61,1,23,Day-Scholar,14,28,30,36,36,38,30,WARNING
STU21172,67,582,654,652,656,82,76,2,11,Hosteller,71,38,45,48,45,45,41,WARNING
STU21173,67,607,587,641,602,85,90,0,10,Hosteller,13,25,33,34,28,30,27,WARNING
STU21174,99,772,779,766,808,65,79,0,21,Hosteller,76,57,58,51,58,49,56,SAFE
STU21175,97,797,805,779,812,91,92,0,21,Day-Scholar,49,46,45,44,46,42,40,SAFE
STU21176,53,394,409,396,382,58,53,2,4,Day-Scholar,55,25,14,14,24,22,24,CRITICAL
STU21177,68,510,488,492,515,88,78,2,12,Day-Scholar,22,38,34,37,39,35,29,WARNING
STU21178,82,642,580,590,590,80,77,0,20,Hosteller,16,38,33,40,32,36,43,SAFE
STU21179,84,701,636,645,685,63,93,0,28,Day-Scholar,72,42,43,40,49,48,46,SAFE
STU21180,31,444,473,459,440,49,53,5,1,Hosteller,94,12,12,21,14,18,19,CRITICAL
STU21181,91,670,613,697,647,61,75,0,24,Day-Scholar,7,57,51,52,57,55,51,SAFE
STU21182,79,696,627,633,713,88,94,0,24,Day-Scholar,48,34,43,39,37,40,40,SAFE
STU21183,71,700,645,717,675,64,56,0,16,Hosteller,85,42,48,47,36,42,48,SAFE
STU21184,32,316,353,328,380,54,40,5,7,Day-Scholar,80,13,16,9,21,10,18,CRITICAL
STU21185,94,893,844,794,828,81,90,0,28,Hosteller,5,40,50,40,40,48,41,SAFE
STU21186,80,650,658,628,630,67,94,0,19,Hosteller,118,42,46,46,35,47,41,SAFE
STU21187,84,384,374,371,374,92,68,0,11,Hosteller,67,40,40,36,42,40,38,SAFE
STU21188,78,467,416,422,459,68,82,2,15,Day-Scholar,17,42,38,43,36,44,42,WARNING
STU21189,89,660,739,696,707,60,78,0,31,Hosteller,53,58,60,52,49,50,49,SAFE
STU21190,85,751,782,777,783,84,81,0,35,Hosteller,44,46,48,45,47,45,51,SAFE
STU21191,95,697,727,731,684,72,81,0,40,Hosteller,8,52,46,45,46,46,45,SAFE
STU21192,99,900,880,900,893,75,64,0,49,Day-Scholar,32,50,54,54,55,49,54,SAFE
STU21193,81,467,482,430,505,62,74,0,15,Hosteller,43,45,42,44,41,40,39,SAFE
STU21194,85,835,864,843,816,92,65,0,42,Hosteller,54,45,52,46,42,47,42,SAFE
STU21195,33,280,319,290,300,65,40,2,8,Day-Scholar,81,27,27,31,22,30,31,CRITICAL
STU21196,74,565,522,540,539,68,74,0,19,Hosteller,13,30,28,39,34,28,31,SAFE
STU21197,69,570,538,517,526,75,88,0,16,Day-Scholar,36,38,46,43,46,46,38,SAFE
STU21198,68,525,555,564,496,72,80,1,13,Day-Scholar,119,32,25,33,33,34,33,WARNING
STU21199,34,397,350,415,379,55,51,2,4,Hosteller,78,15,18,11,11,19,17,CRITICAL
STU21200,30,431,435,490,460,75,56,5,10,Day-Scholar,13,25,23,29,21,20,22,CRITICAL
STU21201,59,270,277,249,311,59,59,3,6,Hosteller,69,19,30,31,20,21,25,CRITICAL
STU21202,64,202,258,198,221,68,45,3,9,Hosteller,96,30,25,31,25,28,31,WARNING
STU21203,74,657,610,658,689,83,94,1,20,Day-Scholar,94,46,46,38,38,42,44,SAFE
STU21204,38,376,367,387,328,58,63,2,10,Day-Scholar,65,21,19,19,27,22,16,CRITICAL
STU21205,99,900,900,900,900,64,93,0,25,Day-Scholar,12,56,58,55,60,54,51,SAFE
STU21206,42,440,448,401,397,49,55,2,10,Day-Scholar,39,17,10,12,16,20,19,CRITICAL
STU21207,88,790,826,766,841,79,64,0,34,Day-Scholar,21,41,46,43,43,48,49,SAFE
STU21208,96,852,849,900,881,62,91,0,22,Day-Scholar,15,52,51,48,46,46,54,SAFE
STU21209,34,431,482,447,507,57,53,4,7,Day-Scholar,98,21,10,21,15,12,18,CRITICAL
STU21210,74,632,657,665,645,61,86,1,15,Hosteller,24,43,43,36,35,31,33,SAFE
STU21211,55,393,378,409,379,45,57,3,2,Day-Scholar,109,30,22,20,19,28,21,CRITICAL
STU21212,82,544,508,561,588,69,74,0,16,Hosteller,22,39,45,37,45,42,41,SAFE
STU21213,94,638,667,663,620,77,93,0,46,Hosteller,109,45,48,50,51,51,55,SAFE
STU21214,86,702,714,730,733,74,94,0,45,Day-Scholar,68,47,48,45,50,50,52,SAFE
STU21215,56,251,297,262,255,53,68,1,1,Day-Scholar,96,21,14,10,16,18,14,CRITICAL
STU21216,67,439,397,451,477,77,81,1,16,Day-Scholar,114,41,46,45,45,39,43,SAFE
STU21217,100,878,900,900,849,88,94,0,41,Day-Scholar,34,52,45,45,49,48,42,SAFE
STU21218,93,869,834,861,857,81,57,0,44,Day-Scholar,21,51,59,57,58,50,58,SAFE
STU21219,89,900,864,900,900,93,66,0,47,Hosteller,71,53,51,45,44,54,48,SAFE
STU21220,43,369,415,374,415,57,44,1,5,Hosteller,96,21,25,16,22,24,20,CRITICAL
STU21221,100,837,886,818,843,67,92,0,37,Day-Scholar,83,50,54,48,52,48,49,SAFE
STU21222,73,467,453,458,443,68,69,0,12,Day-Scholar,112,30,33,37,31,39,41,SAFE
STU21223,62,423,335,333,339,50,47,4,10,Day-Scholar,30,15,24,18,13,19,21,CRITICAL
STU21224,81,769,725,752,746,84,66,0,37,Hosteller,15,52,54,48,55,55,52,SAFE
STU21225,82,668,644,683,596,88,70,1,25,Hosteller,23,43,39,47,40,46,37,SAFE
STU21226,75,580,609,615,584,60,61,0,19,Hosteller,104,31,28,33,36,36,31,SAFE
STU21227,84,469,444,518,458,79,63,0,15,Hosteller,36,37,34,39,34,39,31,SAFE
STU21228,71,453,498,477,446,92,86,2,10,Hosteller,80,33,25,25,35,28,33,WARNING
STU21229,80,665,695,674,741,95,81,1,19,Hosteller,68,33,30,34,30,33,32,SAFE
STU21230,32,462,438,432,398,45,60,1,2,Day-Scholar,60,22,17,21,15,19,18,CRITICAL
STU21231,79,529,564,574,577,85,74,0,16,Hosteller,89,45,43,42,44,43,49,SAFE
STU21232,69,731,735,721,670,87,66,0,15,Hosteller,59,31,37,29,34,37,38,SAFE
STU21233,85,571,537,629,606,92,69,1,11,Hosteller,114,35,31,35,28,28,30,SAFE
STU21234,47,236,208,241,221,64,52,5,3,Day-Scholar,25,18,11,21,12,18,10,CRITICAL
STU21235,76,414,367,441,388,91,85,2,20,Day-Scholar,96,37,36,37,37,34,34,WARNING
STU21236,85,866,879,851,851,67,77,0,30,Hosteller,99,41,45,40,42,48,46,SAFE
STU21237,73,436,450,382,379,73,92,1,22,Day-Scholar,88,45,42,46,44,46,44,SAFE
STU21238,84,595,610,570,589,71,66,0,23,Day-Scholar,69,25,30,32,27,32,36,SAFE
STU21239,45,213,183,184,244,67,69,2,7,Hosteller,108,11,12,18,12,19,10,CRITICAL
STU21240,89,890,900,843,878,75,84,0,29,Day-Scholar,65,55,58,59,58,48,59,SAFE
STU21241,67,523,509,456,456,88,78,2,20,Day-Scholar,35,43,48,46,42,39,46,WARNING
STU21242,82,771,700,689,685,92,68,0,33,Hosteller,13,52,45,46,45,54,43,SAFE
STU21243,70,547,552,462,545,80,57,2,16,Hosteller,43,40,36,34,34,40,33,WARNING
STU21244,77,423,465,412,421,91,93,0,17,Day-Scholar,67,37,34,33,43,42,43,SAFE
STU21245,72,661,642,645,636,78,79,0,12,Day-Scholar,85,34,36,29,33,34,33,SAFE
STU21246,34,485,451,448,527,58,54,3,9,Day-Scholar,44,25,23,18,22,16,16,CRITICAL
STU21247,78,472,501,499,536,76,73,0,12,Hosteller,42,43,41,38,39,38,36,SAFE
STU21248,58,466,476,535,498,59,42,5,5,Hosteller,90,13,19,11,15,10,16,CRITICAL
STU21249,86,883,795,851,809,64,64,0,34,Day-Scholar,82,51,54,51,43,49,50,SAFE
STU21250,81,625,649,692,691,72,87,0,23,Day-Scholar,20,40,34,45,34,35,42,SAFE
STU21251,46,446,464,408,459,63,63,4,8,Hosteller,68,23,18,24,23,19,19,CRITICAL
STU21252,98,737,784,726,724,68,72,0,27,Day-Scholar,119,48,49,40,50,46,51,SAFE
STU21253,99,723,764,744,814,95,79,0,30,Day-Scholar,59,49,42,49,43,49,43,SAFE
STU21254,99,648,697,716,660,68,87,0,42,Day-Scholar,52,56,47,48,48,46,52,SAFE
STU21255,89,853,900,869,888,75,70,0,47,Day-Scholar,114,57,60,55,52,54,51,SAFE
STU21256,78,498,468,478,430,75,61,0,13,Hosteller,107,34,25,28,25,30,24,SAFE
STU21257,95,807,787,825,810,69,58,0,24,Day-Scholar,76,58,55,58,53,60,52,SAFE
STU21258,71,555,589,567,602,83,74,1,11,Day-Scholar,115,35,31,37,28,32,35,WARNING
STU21259,78,668,653,706,729,83,88,0,22,Hosteller,8,39,36,41,36,34,37,SAFE
STU21260,55,377,300,323,378,45,63,5,10,Hosteller,110,16,9,18,18,21,15,CRITICAL
STU21261,68,440,452,430,447,83,71,2,24,Day-Scholar,77,37,47,45,46,44,45,WARNING
STU21262,81,374,386,398,383,85,75,0,25,Day-Scholar,28,35,35,38,31,37,34,SAFE
STU21263,70,637,663,649,598,79,67,0,12,Day-Scholar,17,37,40,37,34,33,29,SAFE
STU21264,40,461,385,459,455,69,57,3,1,Day-Scholar,47,19,20,24,17,22,28,CRITICAL
STU21265,88,628,654,623,655,86,79,0,25,Hosteller,6,48,49,48,51,52,51,SAFE
STU21266,85,765,729,737,729,71,56,0,34,Hosteller,75,54,53,52,42,53,48,SAFE
STU21267,45,333,312,289,344,47,59,4,9,Day-Scholar,7,31,24,25,22,26,22,CRITICAL
STU21268,69,649,623,689,699,63,89,0,10,Day-Scholar,50,36,33,29,36,36,31,SAFE
STU21269,59,500,486,439,508,61,66,4,3,Hosteller,37,28,26,31,30,27,24,CRITICAL
STU21270,80,580,565,526,523,94,65,0,18,Day-Scholar,9,28,36,37,38,30,34,SAFE
STU21271,76,533,556,540,552,79,58,1,23,Hosteller,88,31,33,25,34,27,31,WARNING
STU21272,36,426,370,397,379,71,62,2,10,Hosteller,23,20,25,21,27,22,26,CRITICAL
STU21273,81,581,549,543,562,79,56,0,17,Day-Scholar,120,39,36,34,31,33,36,SAFE
STU21274,83,613,610,553,588,61,77,2,23,Hosteller,29,43,39,50,42,43,45,SAFE
STU21275,69,494,484,515,529,77,81,0,14,Hosteller,107,30,30,31,30,26,31,SAFE
